no,rencana_aksi_desc,satuan,indikator_output,periode_tw,target_penyelesaian
25,3.Updating SK Pengelolaan Pengaduan di lingkungan BPS (Kolaborasi dengan Biro Hukum dan Organisasi),Dokumen,SK Pengelola Pengaduan,tw1,
25,1. SOP Pengelolaan Pengaduan di Lingkungan BPS,Dokumen,SOP Pengelolaan Pengaduan,tw2,
25,2. Pemantauan SP4N-LAPOR! Bulanan,Dokumen,Laporan Monitoring,tw2,6
25,3.Updating SK Pengelolaan Pengaduan di lingkungan BPS (Kolaborasi dengan Biro Hukum dan Organisasi),Dokumen,SK Pengelola Pengaduan,tw2,
25,1. SOP Pengelolaan Pengaduan di Lingkungan BPS,Dokumen,SOP Pengelolaan Pengaduan,tw3,1
25,2. Pemantauan SP4N-LAPOR! Bulanan,Dokumen,Laporan Monitoring,tw3,9
25,3.Updating SK Pengelolaan Pengaduan di lingkungan BPS (Kolaborasi dengan Biro Hukum dan Organisasi),Dokumen,SK Pengelola Pengaduan,tw3,
25,1. SOP Pengelolaan Pengaduan di Lingkungan BPS,Dokumen,SOP Pengelolaan Pengaduan,tw4,1
25,2. Pemantauan SP4N-LAPOR! Bulanan,Dokumen,Laporan Monitoring,tw4,12
25,3.Updating SK Pengelolaan Pengaduan di lingkungan BPS (Kolaborasi dengan Biro Hukum dan Organisasi),Dokumen,SK Pengelola Pengaduan,tw4,1
26,1. Sosialisasi Gratifikasi,Dokumen,Laporan Sosialisasi Gratifikasi,tw1,1
26,2. Sosialisasi Benturan Kepentingan,Dokumen,Laporan Sosialisasi Benturan Kepentingan,tw1,0
26,3. Penyusunan rencana aksi SPI KPK,Dokumen,Dokumen Rencana Aksi SPI KPK,tw1,
26,1. Sosialisasi Gratifikasi,Dokumen,Laporan Sosialisasi Gratifikasi,tw2,1
26,2. Sosialisasi Benturan Kepentingan,Dokumen,Laporan Sosialisasi Benturan Kepentingan,tw2,0
26,3. Penyusunan rencana aksi SPI KPK,Dokumen,Dokumen Rencana Aksi SPI KPK,tw2,
26,1. Sosialisasi Gratifikasi,Dokumen,Laporan Sosialisasi Gratifikasi,tw3,1
26,2. Sosialisasi Benturan Kepentingan,Dokumen,Laporan Sosialisasi Benturan Kepentingan,tw3,0
26,3. Penyusunan rencana aksi SPI KPK,Dokumen,Dokumen Rencana Aksi SPI KPK,tw3,1
26,1. Sosialisasi Gratifikasi,Dokumen,Laporan Sosialisasi Gratifikasi,tw4,1
26,2. Sosialisasi Benturan Kepentingan,Dokumen,Laporan Sosialisasi Benturan Kepentingan,tw4,1
26,3. Penyusunan rencana aksi SPI KPK,Dokumen,Dokumen Rencana Aksi SPI KPK,tw4,1
